%Change,,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variable,,A,Air Density @25C and 1.02 atm (kg/m^3),Air Flow Rate (L/min),Air Flow Rate (scfm),Air Molar Flow Rate (mol/min),CO2 Flow Rate (L/min),CO2 Molar Flow Rate (mol/min),CO2 concentration in gas-phase @inlet (% v/v),CO2 concentration in gas-phase @outlet (% v/v),CO2 mole fraction in Liquid-phase @inlet,CO2 mole fraction in Liquid-phase @outlet,CO2 mole fraction in gas-phase @Equilibrium,CO2 mole fraction in gas-phase @inlet,CO2 mole fraction in gas-phase @outlet,CO2_transferred,D Diameter (m),H,HOG,K,Kya,L_V,Lt Height (m),Molar Mass Air (g/mol),Molar Mass Water (g/mol),NOG,R,Room Pressure (atm),Room Temp (K),V,Water Flow Rate (L/min),Water Flow Rate (gpm),Water Molar Flow Rate (mol/min),Water Temp (K),superficial_velocity,A,Air Density @25C and 1.02 atm (kg/m^3),Air Flow Rate (L/min),Air Flow Rate (scfm),Air Molar Flow Rate (mol/min),CO2 Flow Rate (L/min),CO2 Molar Flow Rate (mol/min),CO2 concentration in gas-phase @inlet (% v/v),CO2 concentration in gas-phase @outlet (% v/v),CO2 mole fraction in Liquid-phase @inlet,CO2 mole fraction in Liquid-phase @outlet,CO2 mole fraction in gas-phase @Equilibrium,CO2 mole fraction in gas-phase @inlet,CO2 mole fraction in gas-phase @outlet,CO2_transferred,D Diameter (m),H,HOG,K,Kya,L_V,Lt Height (m),Molar Mass Air (g/mol),Molar Mass Water (g/mol),NOG,R,Room Pressure (atm),Room Temp (K),V,Water Flow Rate (L/min),Water Flow Rate (gpm),Water Molar Flow Rate (mol/min),Water Temp (K),superficial_velocity,A,Air Density @25C and 1.02 atm (kg/m^3),Air Flow Rate (L/min),Air Flow Rate (scfm),Air Molar Flow Rate (mol/min),CO2 Flow Rate (L/min),CO2 Molar Flow Rate (mol/min),CO2 concentration in gas-phase @inlet (% v/v),CO2 concentration in gas-phase @outlet (% v/v),CO2 mole fraction in Liquid-phase @inlet,CO2 mole fraction in Liquid-phase @outlet,CO2 mole fraction in gas-phase @Equilibrium,CO2 mole fraction in gas-phase @inlet,CO2 mole fraction in gas-phase @outlet,CO2_transferred,D Diameter (m),H,HOG,K,Kya,L_V,Lt Height (m),Molar Mass Air (g/mol),Molar Mass Water (g/mol),NOG,R,Room Pressure (atm),Room Temp (K),V,Water Flow Rate (L/min),Water Flow Rate (gpm),Water Molar Flow Rate (mol/min),Water Temp (K),superficial_velocity
Parameter,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Flow Rate (gpm),1,0.06591830179090823,1.21049,158.5743409152,5.6,6.6271238415878795,12.5,0.522149158579622,6.05,5.62,0.0,0.004617376681119227,3.753964781397746e-06,0.0605,0.0562,0.030741873900720244,0.1,1230.0,20.353341640192546,1203.5225048923678,5.769996485097921,79.33415968964492,1.5,28.9647,18.02,0.07369797188673387,0.08206,1.022,298.15,171.0743409152,10.2206118168,2.7,567.1815658601554,298.15,0.33650520272257956,0.08056681329999896,1.21049,158.5743409152,5.6,6.6271238415878795,12.5,0.522149158579622,6.05,5.62,0.0,0.004617376681119227,3.753964781397746e-06,0.0605,0.0562,0.030741873900720244,0.1,1230.0,8.290171874727774,1203.5225048923678,5.769996485097921,96.96397295401047,1.5,28.9647,18.02,0.18093714131219454,0.08206,1.022,298.15,171.0743409152,12.491858887200001,3.3000000000000003,693.221913829079,298.15,0.33650520272257956,0.07324255754545358,1.21049,158.5743409152,5.6,6.6271238415878795,12.5,0.522149158579622,6.05,5.62,0.0,0.004617376681119227,3.753964781397746e-06,0.0605,0.0562,0.030741873900720244,0.1,1230.0,5.507544417720072,1203.5225048923678,5.769996485097921,88.14906632182769,1.5,28.9647,18.02,0.2723536818284884,0.08206,1.022,298.15,171.0743409152,11.356235351999999,3.0,630.2017398446171,298.15,0.33650520272257956
Water Flow Rate (gpm),2,0.07059234563933345,1.21049,147.24760227840002,5.2,6.153757852903032,12.5,0.522149158579622,6.51,6.1,0.0,0.004428190777089181,3.600155103324537e-06,0.06509999999999999,0.061,0.027371218747078832,0.1,1230.0,9.134049652077454,1203.5225048923678,4.957924785747473,84.95947665007841,1.5,28.9647,18.02,0.1642206969675098,0.08206,1.022,298.15,159.74760227840002,10.2206118168,2.7,567.1815658601554,298.15,0.3124691168138239,0.08627953355918536,1.21049,147.24760227840002,5.2,6.153757852903032,12.5,0.522149158579622,6.51,6.1,0.0,0.004428190777089181,3.600155103324537e-06,0.06509999999999999,0.061,0.027371218747078832,0.1,1230.0,12.768448951189594,1203.5225048923678,4.957924785747473,103.83936035009587,1.5,28.9647,18.02,0.11747707225318467,0.08206,1.022,298.15,159.74760227840002,12.491858887200001,3.3000000000000003,693.221913829079,298.15,0.3124691168138239,0.0784359395992594,1.21049,147.24760227840002,5.2,6.153757852903032,12.5,0.522149158579622,6.51,6.1,0.0,0.004428190777089181,3.600155103324537e-06,0.06509999999999999,0.061,0.027371218747078832,0.1,1230.0,11.302868391909985,1203.5225048923678,4.957924785747473,94.39941850008714,1.5,28.9647,18.02,0.13270967580880824,0.08206,1.022,298.15,159.74760227840002,11.356235351999999,3.0,630.2017398446171,298.15,0.3124691168138239
Water Flow Rate (gpm),3,0.0759798175422718,1.21049,135.92086364160002,4.8,5.680391864218183,12.5,0.522149158579622,7.0,6.61,0.0,0.004240435310838139,3.447508382795235e-06,0.07,0.0661,0.024189909988911445,0.1,1230.0,14.429520515683345,1203.5225048923678,4.2399212665688815,91.44342032974004,1.5,28.9647,18.02,0.10395355814974312,0.08206,1.022,298.15,148.42086364160002,10.2206118168,2.7,567.1815658601554,298.15,0.2884330309050682,0.09286422144055445,1.21049,135.92086364160002,4.8,5.680391864218183,12.5,0.522149158579622,7.0,6.61,0.0,0.004240435310838139,3.447508382795235e-06,0.07,0.0661,0.024189909988911445,0.1,1230.0,17.060739868733695,1203.5225048923678,4.2399212665688815,111.76418040301563,1.5,28.9647,18.02,0.08792115767200517,0.08206,1.022,298.15,148.42086364160002,12.491858887200001,3.3000000000000003,693.221913829079,298.15,0.2884330309050682,0.08442201949141313,1.21049,135.92086364160002,4.8,5.680391864218183,12.5,0.522149158579622,7.0,6.61,0.0,0.004240435310838139,3.447508382795235e-06,0.07,0.0661,0.024189909988911445,0.1,1230.0,15.928048045695409,1203.5225048923678,4.2399212665688815,101.60380036637783,1.5,28.9647,18.02,0.0941734979513311,0.08206,1.022,298.15,148.42086364160002,11.356235351999999,3.0,630.2017398446171,298.15,0.2884330309050682
Water Flow Rate (gpm),4,0.08580220632059796,1.21049,118.93075568640002,4.2,4.970342881190911,12.5,0.522149158579622,8.29,7.66,0.0,0.006913701515882198,5.620895541367641e-06,0.08289999999999999,0.0766,0.03460269985055428,0.1,1230.0,7.647262317616952,1203.5225048923678,3.166496423373358,103.26488627625781,1.5,28.9647,18.02,0.19614862648878398,0.08206,1.022,298.15,131.4307556864,10.2206118168,2.7,567.1815658601554,298.15,0.2523789020419347,0.10486936328073086,1.21049,118.93075568640002,4.2,4.970342881190911,12.5,0.522149158579622,8.29,7.66,0.0,0.006913701515882198,5.620895541367641e-06,0.08289999999999999,0.0766,0.03460269985055428,0.1,1230.0,10.575038847098622,1203.5225048923678,3.166496423373358,126.21263878209291,1.5,28.9647,18.02,0.14184345057148812,0.08206,1.022,298.15,131.4307556864,12.491858887200001,3.3000000000000003,693.221913829079,298.15,0.2523789020419347,0.0953357848006644,1.21049,118.93075568640002,4.2,4.970342881190911,12.5,0.522149158579622,8.29,7.66,0.0,0.006913701515882198,5.620895541367641e-06,0.08289999999999999,0.0766,0.03460269985055428,0.1,1230.0,9.388098233476148,1203.5225048923678,3.166496423373358,114.73876252917535,1.5,28.9647,18.02,0.15977676870181112,0.08206,1.022,298.15,131.4307556864,11.356235351999999,3.0,630.2017398446171,298.15,0.2523789020419347
Water Flow Rate (gpm),5,0.09389442114303814,1.21049,107.60401704960002,3.8,4.496976892506062,12.5,0.522149158579622,8.91,8.22,0.0,0.007642312212980932,6.213261961773116e-06,0.0891,0.08220000000000001,0.034631969752491165,0.1,1230.0,8.714664044447087,1203.5225048923678,2.6676360095884717,113.00404892948816,1.5,28.9647,18.02,0.17212367480256313,0.08206,1.022,298.15,120.10401704960002,10.2206118168,2.7,567.1815658601554,298.15,0.228342816133179,0.11475984806371332,1.21049,107.60401704960002,3.8,4.496976892506062,12.5,0.522149158579622,8.91,8.22,0.0,0.007642312212980932,6.213261961773116e-06,0.0891,0.08220000000000001,0.034631969752491165,0.1,1230.0,11.096496097912803,1203.5225048923678,2.6676360095884717,138.1160598027078,1.5,28.9647,18.02,0.13517780628807166,0.08206,1.022,298.15,120.10401704960002,12.491858887200001,3.3000000000000003,693.221913829079,298.15,0.228342816133179,0.10432713460337573,1.21049,107.60401704960002,3.8,4.496976892506062,12.5,0.522149158579622,8.91,8.22,0.0,0.007642312212980932,6.213261961773116e-06,0.0891,0.08220000000000001,0.034631969752491165,0.1,1230.0,10.09774396335529,1203.5225048923678,2.6676360095884717,125.56005436609797,1.5,28.9647,18.02,0.14854803265397692,0.08206,1.022,298.15,120.10401704960002,11.356235351999999,3.0,630.2017398446171,298.15,0.228342816133179
Air Flow Rate (scfm),1,0.08072552930910934,1.21049,142.71690682368,5.04,5.964411457429092,12.5,0.522149158579622,6.05,5.62,0.0,0.004654672425468729,3.7842865247713245e-06,0.0605,0.0562,0.02789221064883746,0.1,1230.0,8.331409219549265,1203.5225048923678,5.192999537764583,97.15499124286153,1.5,28.9647,18.02,0.18004157045609037,0.08206,1.022,298.15,155.21690682368,11.356235351999999,3.0,630.2017398446171,298.15,0.3028546824503216,0.0670291882744074,1.21049,174.43177500672002,6.16,7.28983622574667,12.5,0.522149158579622,6.05,5.62,0.0,0.0045868599022412535,3.7291543920660596e-06,0.0605,0.0562,0.03359153715260304,0.1,1230.0,20.35335029497952,1203.5225048923678,6.346993432249779,80.67113657291692,1.5,28.9647,18.02,0.07369794054839213,0.08206,1.022,298.15,186.93177500672002,11.356235351999999,3.0,630.2017398446171,298.15,0.37015572299483757,0.07324255754545358,1.21049,158.5743409152,5.6,6.6271238415878795,12.5,0.522149158579622,6.05,5.62,0.0,0.004617376681119227,3.753964781397746e-06,0.0605,0.0562,0.030741873900720244,0.1,1230.0,5.507544417720072,1203.5225048923678,5.769996485097921,88.14906632182769,1.5,28.9647,18.02,0.2723536818284884,0.08206,1.022,298.15,171.0743409152,11.356235351999999,3.0,630.2017398446171,298.15,0.33650520272257956
Air Flow Rate (scfm),2,0.08640018829700963,1.21049,132.52284205056003,4.680000000000001,5.53838206761273,12.5,0.522149158579622,6.51,6.1,0.0,0.004466501821825911,3.631302294167407e-06,0.06509999999999999,0.061,0.024848178027388597,0.1,1230.0,12.787660342034307,1203.5225048923678,4.462134513183019,103.98457104238926,1.5,28.9647,18.02,0.11730058195785442,0.08206,1.022,298.15,145.02284205056003,11.356235351999999,3.0,630.2017398446171,298.15,0.28122220513244156,0.07181603755030312,1.21049,161.97236250624002,5.720000000000001,6.769133638193335,12.5,0.522149158579622,6.51,6.1,0.0,0.0043968431835758786,3.5746692549397385e-06,0.06509999999999999,0.061,0.029894259466769067,0.1,1230.0,9.549053686944541,1203.5225048923678,5.453715058159555,86.43221740398516,1.5,28.9647,18.02,0.15708362830243575,0.08206,1.022,298.15,174.47236250624002,11.356235351999999,3.0,630.2017398446171,298.15,0.34371602849520627,0.0784359395992594,1.21049,147.24760227840002,5.2,6.153757852903032,12.5,0.522149158579622,6.51,6.1,0.0,0.004428190777089181,3.600155103324537e-06,0.06509999999999999,0.061,0.027371218747078832,0.1,1230.0,11.302868391909985,1203.5225048923678,4.957924785747473,94.39941850008714,1.5,28.9647,18.02,0.13270967580880824,0.08206,1.022,298.15,159.74760227840002,11.356235351999999,3.0,630.2017398446171,298.15,0.3124691168138239
Air Flow Rate (scfm),3,0.09293297869607513,1.21049,122.32877727744003,4.32,5.112352677796365,12.5,0.522149158579622,7.0,6.61,0.0,0.004279929220764816,3.479617252654322e-06,0.07,0.0661,0.021974557161866356,0.1,1230.0,17.068864756283368,1203.5225048923678,3.81593094150741,111.84693130740939,1.5,28.9647,18.02,0.08787930664503167,0.08206,1.022,298.15,134.82877727744003,11.356235351999999,3.0,630.2017398446171,298.15,0.2595897278145614,0.07733916783230597,1.21049,149.51295000576005,5.28,6.248431050640002,12.5,0.522149158579622,7.0,6.61,0.0,0.004208119781440713,3.4212355946672465e-06,0.07,0.0661,0.026405262815956537,0.1,1230.0,14.703907733957136,1203.5225048923678,4.663911591501963,93.07942899582812,1.5,28.9647,18.02,0.10201369779653248,0.08206,1.022,298.15,162.01295000576005,11.356235351999999,3.0,630.2017398446171,298.15,0.3172763339955751,0.08442201949141313,1.21049,135.92086364160002,4.8,5.680391864218183,12.5,0.522149158579622,7.0,6.61,0.0,0.004240435310838139,3.447508382795235e-06,0.07,0.0661,0.024189909988911445,0.1,1230.0,15.928048045695409,1203.5225048923678,4.2399212665688815,101.60380036637783,1.5,28.9647,18.02,0.0941734979513311,0.08206,1.022,298.15,148.42086364160002,11.356235351999999,3.0,630.2017398446171,298.15,0.2884330309050682
Air Flow Rate (scfm),4,0.10482143282060973,1.21049,107.03768011776002,3.7800000000000002,4.47330859307182,12.5,0.522149158579622,8.29,7.66,0.0,0.006986219970061851,5.6798536341966275e-06,0.08289999999999999,0.0766,0.031471383835404015,0.1,1230.0,10.569927938741232,1203.5225048923678,2.8498488902338845,126.15495339466727,1.5,28.9647,18.02,0.14191203655250598,0.08206,1.022,298.15,119.53768011776002,11.356235351999999,3.0,630.2017398446171,298.15,0.2271410118377412,0.08742444902273672,1.21049,130.82383125504003,4.620000000000001,5.4673771693100015,12.5,0.522149158579622,8.29,7.66,0.0,0.006854360356483916,5.572650696328387e-06,0.08289999999999999,0.0766,0.037734015865704545,0.1,1230.0,8.006749755643092,1203.5225048923678,3.483143956235611,105.21729187667921,1.5,28.9647,18.02,0.18734193596381754,0.08206,1.022,298.15,143.32383125504003,11.356235351999999,3.0,630.2017398446171,298.15,0.2776167922461282,0.0953357848006644,1.21049,118.93075568640002,4.2,4.970342881190911,12.5,0.522149158579622,8.29,7.66,0.0,0.006913701515882198,5.620895541367641e-06,0.08289999999999999,0.0766,0.03460269985055428,0.1,1230.0,9.388098233476148,1203.5225048923678,3.166496423373358,114.73876252917535,1.5,28.9647,18.02,0.15977676870181112,0.08206,1.022,298.15,131.4307556864,11.356235351999999,3.0,630.2017398446171,298.15,0.2523789020419347
