%Change,,-10.0,-10.0,-10.0,0.0,0.0,0.0,10.0,10.0,10.0
Variable,,Kya,New Value,Percent Difference (%),Kya,New Value,Percent Difference (%),Kya,New Value,Percent Difference (%)
Parameter,Run,,,,,,,,,
Water Flow Rate (gpm),1,5.769996485097921,2.7,0.0,5.769996485097921,3.0,0.0,5.769996485097921,3.3000000000000003,0.0
Water Flow Rate (gpm),2,4.957924785747473,2.7,0.0,4.957924785747473,3.0,0.0,4.957924785747473,3.3000000000000003,0.0
Water Flow Rate (gpm),3,4.2399212665688815,2.7,0.0,4.2399212665688815,3.0,0.0,4.2399212665688815,3.3000000000000003,0.0
Water Flow Rate (gpm),4,3.166496423373358,2.7,0.0,3.166496423373358,3.0,0.0,3.166496423373358,3.3000000000000003,0.0
Water Flow Rate (gpm),5,2.6676360095884717,2.7,0.0,2.6676360095884717,3.0,0.0,2.6676360095884717,3.3000000000000003,0.0
Air Flow Rate (scfm),1,5.192999537764583,5.04,-9.999953185821504,5.769996485097921,5.6,0.0,6.346993432249779,6.16,9.999953182676272
Air Flow Rate (scfm),2,4.462134513183019,4.680000000000001,-9.999955505369918,4.957924785747473,5.2,0.0,5.453715058159555,5.720000000000001,9.999955502296627
Air Flow Rate (scfm),3,3.81593094150741,4.32,-9.999957508753027,4.2399212665688815,4.8,0.0,4.663911591501963,5.28,9.999957505724902
Air Flow Rate (scfm),4,2.8498488902338845,3.7800000000000002,-9.999933390170705,3.166496423373358,4.2,0.0,3.483143956235611,4.620000000000001,9.99993338141589
Air Flow Rate (scfm),5,2.400874408571283,3.42,-9.999925029439876,2.6676360095884717,3.8,0.0,2.934397610287438,4.18,9.999925017510874
CO2 Flow Rate (L/min),1,5.769993783731831,11.25,-4.681746508696784e-05,5.769996485097921,12.5,0.0,5.769999186284344,13.750000000000002,4.68143512731475e-05
CO2 Flow Rate (L/min),2,4.957922579577951,11.25,-4.449784167917689e-05,4.957924785747473,12.5,0.0,4.9579269917661515,13.750000000000002,4.449479921886839e-05
CO2 Flow Rate (L/min),3,4.2399194648393,11.25,-4.2494411293345366e-05,4.2399212665688815,12.5,0.0,4.239923068171357,13.750000000000002,4.249141344698281e-05
CO2 Flow Rate (L/min),4,3.166494313885795,11.25,-6.661897824119866e-05,3.166496423373358,12.5,0.0,3.166498532586465,13.750000000000002,6.661031072919597e-05
CO2 Flow Rate (L/min),5,2.6676340093142747,11.25,-7.49830257859469e-05,2.6676360095884717,12.5,0.0,2.6676380095476255,13.750000000000002,7.497121596250833e-05
CO2 concentration in gas-phase @inlet (% v/v),1,6.082673453368696,5.445,5.419014882908875,5.769996485097921,6.05,0.0,5.496629918621254,6.655,-4.737725008718571
CO2 concentration in gas-phase @inlet (% v/v),2,5.226194250212569,5.859,5.410922433440094,4.957924785747473,6.51,0.0,4.723359121453906,7.1610000000000005,-4.731125913161727
CO2 concentration in gas-phase @inlet (% v/v),3,4.469033945126853,6.3,5.403701251824866,4.2399212665688815,7.0,0.0,4.039574899893822,7.700000000000001,-4.725237901344057
CO2 concentration in gas-phase @inlet (% v/v),4,3.338238106290138,7.460999999999999,5.4237131502526275,3.166496423373358,8.29,0.0,3.016353648032719,9.119,-4.741605713885117
CO2 concentration in gas-phase @inlet (% v/v),5,2.812357125725997,8.019,5.425069822769831,2.6676360095884717,8.91,0.0,2.541117309703526,9.801,-4.742727247277771
CO2 concentration in gas-phase @outlet (% v/v),1,6.075921460226011,5.058,5.301995866344078,5.769996485097921,5.62,0.0,5.502156417320076,6.182,-4.641945076909345
CO2 concentration in gas-phase @outlet (% v/v),2,5.2211934734336705,5.49,5.310058120345337,4.957924785747473,6.1,0.0,4.727452348666379,6.71,-4.648566628998326
CO2 concentration in gas-phase @outlet (% v/v),3,4.465368552176291,5.949000000000001,5.31725169957816,4.2399212665688815,6.61,0.0,4.042575175302652,7.271000000000001,-4.654475374867757
CO2 concentration in gas-phase @outlet (% v/v),4,3.334234007196957,6.894,5.297261117538338,3.166496423373358,7.66,0.0,3.019631198903985,8.426,-4.63809854277093
CO2 concentration in gas-phase @outlet (% v/v),5,2.808911161387755,7.398000000000001,5.29589311628303,2.6676360095884717,8.22,0.0,2.543938054401469,9.042000000000002,-4.636987757789538
D Diameter (m),1,7.123452450738173,0.09000000000000001,23.45679012345678,5.769996485097921,0.1,0.0,4.768592136444562,0.11000000000000001,-17.35537190082645
D Diameter (m),2,6.120894797219102,0.09000000000000001,23.45679012345679,4.957924785747473,0.1,0.0,4.097458500617746,0.11000000000000001,-17.355371900826448
D Diameter (m),3,5.234470699467754,0.09000000000000001,23.456790123456766,4.2399212665688815,0.1,0.0,3.504067162453621,0.11000000000000001,-17.35537190082645
D Diameter (m),4,3.909254843670812,0.09000000000000001,23.456790123456777,3.166496423373358,0.1,0.0,2.616939192870544,0.11000000000000001,-17.355371900826448
D Diameter (m),5,3.293377789615397,0.09000000000000001,23.456790123456788,2.6676360095884717,0.1,0.0,2.204657859164026,0.11000000000000001,-17.355371900826462
Lt Height (m),1,5.769996485097921,1.35,0.0,5.769996485097921,1.5,0.0,5.769996485097921,1.6500000000000001,0.0
Lt Height (m),2,4.957924785747473,1.35,0.0,4.957924785747473,1.5,0.0,4.957924785747473,1.6500000000000001,0.0
Lt Height (m),3,4.2399212665688815,1.35,0.0,4.2399212665688815,1.5,0.0,4.2399212665688815,1.6500000000000001,0.0
Lt Height (m),4,3.166496423373358,1.35,0.0,3.166496423373358,1.5,0.0,3.166496423373358,1.6500000000000001,0.0
Lt Height (m),5,2.6676360095884717,1.35,0.0,2.6676360095884717,1.5,0.0,2.6676360095884717,1.6500000000000001,0.0
Room Temp (K),1,5.769999486405092,268.335,5.201575388377978e-05,5.769996485097921,298.15,0.0,5.76999402931798,327.965,-4.256120341705612e-05
Room Temp (K),2,4.95792723687002,268.335,4.943847786162144e-05,4.957924785747473,298.15,0.0,4.957922780145051,327.965,-4.045245760247859e-05
Room Temp (K),3,4.239923268341566,268.335,4.72124966160305e-05,4.2399212665688815,298.15,0.0,4.239919628638147,327.965,-3.8631159193214725e-05
Room Temp (K),4,3.1664987669265385,268.335,7.40109214432486e-05,3.166496423373358,298.15,0.0,3.166494505668737,327.965,-6.056234919983564e-05
Room Temp (K),5,2.6676382317458702,268.335,8.330062236930233e-05,2.6676360095884717,298.15,0.0,2.667634191170399,327.965,-6.816589917167352e-05
Room Pressure (atm),1,5.769993783731831,0.9198000000000001,-4.681746508696784e-05,5.769996485097921,1.022,0.0,5.769999186284344,1.1242,4.68143512731475e-05
Room Pressure (atm),2,4.957922579577951,0.9198000000000001,-4.449784167917689e-05,4.957924785747473,1.022,0.0,4.9579269917661515,1.1242,4.449479921886839e-05
Room Pressure (atm),3,4.2399194648393,0.9198000000000001,-4.2494411293345366e-05,4.2399212665688815,1.022,0.0,4.239923068171357,1.1242,4.249141344698281e-05
Room Pressure (atm),4,3.166494313885795,0.9198000000000001,-6.661897824119866e-05,3.166496423373358,1.022,0.0,3.166498532586465,1.1242,6.661031072919597e-05
Room Pressure (atm),5,2.6676340093142747,0.9198000000000001,-7.49830257859469e-05,2.6676360095884717,1.022,0.0,2.6676380095476255,1.1242,7.497121596250833e-05
Water Temp (K),1,5.769996485097921,268.335,0.0,5.769996485097921,298.15,0.0,5.769996485097921,327.965,0.0
Water Temp (K),2,4.957924785747473,268.335,0.0,4.957924785747473,298.15,0.0,4.957924785747473,327.965,0.0
Water Temp (K),3,4.2399212665688815,268.335,0.0,4.2399212665688815,298.15,0.0,4.2399212665688815,327.965,0.0
