%Change,10.0,10.0,-10.0,-10.0
Variable,Percent Difference (%),Percent Difference (%),Percent Difference (%),Percent Difference (%)
,mean,std,mean,std
Parameter,,,,
Water Flow Rate (gpm),0.0,0.0,0.0,0.0
Air Flow Rate (scfm),9.999944917924912,1.4730115983092945e-05,-9.999944923911006,1.4726012981635199e-05
CO2 Flow Rate (L/min),5.5076418126140596e-05,1.4726238570025688e-05,-5.508234441732713e-05,1.4730300640300711e-05
CO2 concentration in gas-phase @inlet (% v/v),-4.7356843568774485,0.0073948778938603766,5.416484308239259,0.009037588275399286
CO2 concentration in gas-phase @outlet (% v/v),-4.6440146762671795,0.007396079184566827,5.304491984017789,0.009031178973464163
D Diameter (m),-17.35537190082645,6.4047456679787536e-15,23.45679012345678,9.230220894641107e-15
Lt Height (m),0.0,0.0,0.0,0.0
Room Temp (K),-5.007461371685173e-05,1.3391014515579817e-05,6.119565443479653e-05,1.6362236656149288e-05
Room Pressure (atm),5.5076418126140596e-05,1.4726238570025688e-05,-5.508234441732713e-05,1.4730300640300711e-05
Water Temp (K),0.0,0.0,0.0,0.0
Air Density @25C and 1.02 atm (kg/m^3),-5.007461371685173e-05,1.3391014515579817e-05,6.119565443479653e-05,1.6362236656149288e-05
Molar Mass Air (g/mol),5.5076418126140596e-05,1.4726238570025688e-05,-5.508234441732713e-05,1.4730300640300711e-05
Molar Mass Water (g/mol),0.0,0.0,0.0,0.0
